Ödevler	O	tr
,	O	tr
Sınavlar	O	tr
,	O	tr
Evet	O	tr
yaşanması	O	tr
gereken	O	tr
zamanımızı	B-IDIOM	tr
öldürüyorlar	I-IDIOM	tr
.	O	tr

Belediye	O	tr
bugün	O	tr
yolları	O	tr
açtı	O	tr
.	O	tr

Planı	O	tr
ortaya	B-IDIOM	tr
çıkmasın	I-IDIOM	tr
diye	O	tr
elinden	O	tr
geleni	O	tr
yapmış	O	tr
.	O	tr

Aldığın	O	tr
bunca	O	tr
tedbire	O	tr
rağmen	O	tr
halen	O	tr
üstüne	O	tr
geliyorlar	O	tr

Yazdıkların	O	tr
yanlış	O	tr
olmuş	O	tr
,	O	tr
istersen	O	tr
defterden	O	tr
silip	O	tr
düzelt	O	tr
yazdıklarını	O	tr
.	O	tr

Üstüme	O	tr
bu	O	tr
kadar	O	tr
gelme	O	tr
,	O	tr
çık	O	tr
git	O	tr
bu	O	tr
evden	O	tr
.	O	tr

Biz	O	tr
mi	O	tr
hesap	B-IDIOM	tr
verecek	I-IDIOM	tr
mişiz	O	tr
?	O	tr

Hatıra	O	tr
kalsın	O	tr
diye	O	tr
köyünden	O	tr
küçük	O	tr
bir	O	tr
yer	O	tr
aldı	O	tr
.	O	tr

Karşı	O	tr
karşıya	O	tr
gelip	O	tr
,	O	tr
rekabet	O	tr
yaratmanız	O	tr
Dodo	O	tr
’	O	tr
nun	O	tr
çıkar	O	tr
sağlamasına	O	tr
yardımcı	O	tr
oldu	O	tr

kitap	O	tr
hakkında	O	tr
yapılan	O	tr
yorumlara	O	tr
karşı	B-IDIOM	tr
çıkmak	I-IDIOM	tr
zorunda	O	tr
kaldı	O	tr

Üst	O	tr
üste	O	tr
ateşi	O	tr
çıkan	O	tr
hastaları	O	tr
karantinaya	O	tr
aldık	O	tr

Her	O	tr
zaman	O	tr
kazandıklarımı	O	tr
ve	O	tr
kaybettimlerimi	O	tr
analiz	O	tr
ederim	O	tr

denizin	O	tr
üstünden	O	tr
aldığı	O	tr
algler	O	tr
ekosistemin	O	tr
parçalından	O	tr
biriydi	O	tr

Yanan	O	tr
yağ	O	tr
tavanın	O	tr
dibinde	O	tr
iz	O	tr
bıraktı	O	tr
.	O	tr

Çocuk	O	tr
,	O	tr
kaldırımda	O	tr
el	B-IDIOM	tr
açtı	I-IDIOM	tr
.	O	tr

Masanın	O	tr
tam	O	tr
ortasına	O	tr
koyduğu	O	tr
vazonun	O	tr
içinde	O	tr
tek	O	tr
bir	O	tr
kırmızı	O	tr
gül	O	tr
vardı	O	tr
.	O	tr

Ortaya	B-IDIOM	tr
koyduğu	I-IDIOM	tr
her	O	tr
bir	O	tr
argümanın	O	tr
tek	O	tr
tek	O	tr
